iter	Passed	Remaining
0	50	50177
1	52	26034
2	54	17972
3	55	13868
4	57	11358
5	58	9646
6	59	8389
7	60	7441
8	61	6803
9	63	6245
10	64	5791
11	65	5428
12	67	5122
13	69	4869
14	70	4636
15	72	4452
16	74	4286
17	75	4126
18	77	3980
19	79	3906
20	81	3800
21	82	3676
22	84	3572
23	85	3480
24	87	3399
25	88	3306
26	89	3220
27	90	3124
28	90	3046
29	91	2967
30	92	2877
31	92	2805
32	93	2747
33	94	2691
34	95	2635
35	96	2583
36	97	2534
37	98	2483
38	98	2436
39	99	2392
40	100	2348
41	101	2305
42	101	2266
43	102	2228
44	103	2191
45	103	2154
46	104	2119
47	105	2084
48	105	2051
49	106	2020
50	106	1988
51	107	1958
52	107	1928
53	108	1899
54	109	1873
55	109	1846
56	109	1819
57	110	1794
58	110	1769
59	111	1745
60	111	1722
61	112	1698
62	112	1676
63	113	1655
64	113	1634
65	114	1614
66	114	1593
67	114	1574
68	115	1554
69	115	1535
70	115	1517
71	116	1499
72	117	1488
73	117	1471
74	117	1453
75	118	1436
76	118	1420
77	118	1404
78	119	1388
79	119	1372
80	119	1357
81	119	1343
82	120	1327
83	120	1312
84	120	1299
85	120	1285
86	121	1272
87	121	1258
88	121	1246
89	122	1233
90	122	1221
91	122	1209
92	122	1197
93	123	1185
94	123	1174
95	123	1163
96	123	1152
97	124	1141
98	124	1130
99	124	1120
100	124	1110
101	125	1100
102	125	1090
103	125	1081
104	125	1071
105	125	1062
106	126	1053
107	126	1044
108	126	1035
109	126	1027
110	127	1018
111	127	1010
112	127	1002
113	127	994
114	128	986
115	128	978
116	128	970
117	128	963
118	129	955
119	129	948
120	129	941
121	129	933
122	129	926
123	130	920
124	130	913
125	130	906
126	130	899
127	131	893
128	131	887
129	131	881
130	131	875
131	132	869
132	132	863
133	132	857
134	132	851
135	133	845
136	133	839
137	133	834
138	133	828
139	134	823
140	134	818
141	134	812
142	134	806
143	134	801
144	135	796
145	135	791
146	135	786
147	135	782
148	136	777
149	136	772
150	136	767
151	136	763
152	137	758
153	137	754
154	137	749
155	137	745
156	137	740
157	138	736
158	138	732
159	138	728
160	138	723
161	139	719
162	139	715
163	139	711
164	139	707
165	140	703
166	140	699
167	140	696
168	140	692
169	141	688
170	141	685
171	141	681
172	141	678
173	142	674
174	142	670
175	142	667
176	142	663
177	143	660
178	143	657
179	143	653
180	143	650
181	144	647
182	144	644
183	144	640
184	144	637
185	145	634
186	145	631
187	145	628
188	145	625
189	145	622
190	146	619
191	146	616
192	146	613
193	146	610
194	147	607
195	147	604
196	147	601
197	147	599
198	148	596
199	148	593
200	148	590
201	148	588
202	149	585
203	149	582
204	149	580
205	149	577
206	150	574
207	150	572
208	150	569
209	150	567
210	150	564
211	151	562
212	151	559
213	151	557
214	151	554
215	152	552
216	152	549
217	152	547
218	152	545
219	153	542
220	153	540
221	153	538
222	153	535
223	154	533
224	154	531
225	155	531
226	155	529
227	155	527
228	155	524
229	156	522
230	156	520
231	156	518
232	156	516
233	157	514
234	157	512
235	157	510
236	157	508
237	158	506
238	158	504
239	158	502
240	158	500
241	159	498
242	159	496
243	159	494
244	159	492
245	160	490
246	160	488
247	160	486
248	160	484
249	160	482
250	161	480
251	161	479
252	161	477
253	161	475
254	162	473
255	162	471
256	162	470
257	162	468
258	163	466
259	163	464
260	163	463
261	163	461
262	164	459
263	164	457
264	164	456
265	164	454
266	165	453
267	165	451
268	165	449
269	165	447
270	165	446
271	166	444
272	166	443
273	166	441
274	166	439
275	167	438
276	167	436
277	167	435
278	167	433
279	168	432
280	168	430
281	168	429
282	168	427
283	169	426
284	169	424
285	169	423
286	169	422
287	170	420
288	170	419
289	170	418
290	171	416
291	171	415
292	171	413
293	171	412
294	172	411
295	172	409
296	172	408
297	172	407
298	173	405
299	173	404
300	173	402
301	173	401
302	173	400
303	174	398
304	174	397
305	174	396
306	174	394
307	175	393
308	175	392
309	175	391
310	175	389
311	176	388
312	176	387
313	176	386
314	176	384
315	177	383
316	177	382
317	177	380
318	177	379
319	178	378
320	178	377
321	178	376
322	178	374
323	179	373
324	179	372
325	179	371
326	179	370
327	180	368
328	180	367
329	180	366
330	180	365
331	180	364
332	181	362
333	181	361
334	181	360
335	181	359
336	182	358
337	182	357
338	182	355
339	182	354
340	182	353
341	183	352
342	183	351
343	183	350
344	183	349
345	184	348
346	184	346
347	184	345
348	184	344
349	185	343
350	185	342
351	186	342
352	186	342
353	186	341
354	187	340
355	187	339
356	187	338
357	188	337
358	188	336
359	188	335
360	188	334
361	189	333
362	189	332
363	189	331
364	190	330
365	190	329
366	190	329
367	191	328
368	191	327
369	191	326
370	191	325
371	192	324
372	192	323
373	192	322
374	192	321
375	193	320
376	193	319
377	193	318
378	193	317
379	194	316
380	194	315
381	194	314
382	194	314
383	195	313
384	195	312
385	195	311
386	195	310
387	196	309
388	196	308
389	196	307
390	196	306
391	197	305
392	197	304
393	197	304
394	197	303
395	198	302
396	198	301
397	198	300
398	198	299
399	199	298
400	199	297
401	199	296
402	199	296
403	200	295
404	200	294
405	200	293
406	200	292
407	200	291
408	201	290
409	201	289
410	201	289
411	201	288
412	202	287
413	202	286
414	202	285
415	202	284
416	203	284
417	203	283
418	203	282
419	204	281
420	204	280
421	204	280
422	204	279
423	205	278
424	205	277
425	205	276
426	205	276
427	206	275
428	206	274
429	206	273
430	206	272
431	206	272
432	207	271
433	207	270
434	207	269
435	207	268
436	208	268
437	208	267
438	208	266
439	208	265
440	209	265
441	209	264
442	209	263
443	209	262
444	210	262
445	210	261
446	210	260
447	210	259
448	211	258
449	211	258
450	211	257
451	211	256
452	211	255
453	212	255
454	212	254
455	212	253
456	212	252
457	213	252
458	213	251
459	213	250
460	213	250
461	214	249
462	214	248
463	214	247
464	214	247
465	215	246
466	215	245
467	215	245
468	215	244
469	216	243
470	216	242
471	216	242
472	216	241
473	217	240
474	217	240
475	217	239
476	217	238
477	217	238
478	218	237
479	218	236
